,Weekly Decay,Daily Decay,Key,Feature Set,MSE Nov,MA Nov,MA (Tier) Nov,MSE Dec,MA Dec,MA (Tier) Dec,Eval MSE,Eval MA,Eval MA (Tier)
0,0.7071067811865476,0,1,"['Positivity_Rate_7_1dayago', 'Positivity_Rate_7_2dayago', 'Positivity_Rate_7_3dayago', 'Positivity_Rate_7_4dayago', 'Positivity_Rate_7_5dayago', 'Positivity_Rate_7_6dayago', 'Pressure_7_Adj100k_1dayago']",0.00013842947012114037,0.6380952380952382,0.7714285714285715,4.526350057762386e-05,0.783410138248848,0.7880184331797235,9.10828298613205e-05,0.711943793911007,0.7798594847775175
1,0.7071067811865476,0,2,"['Positivity_Rate_7_1dayago', 'Positivity_Rate_7_2dayago', 'Positivity_Rate_7_3dayago', 'Positivity_Rate_7_4dayago', 'Positivity_Rate_7_5dayago', 'Positivity_Rate_7_6dayago', 'Diff Pressure_7_Adj100k_1dayago']",0.00015514573406157748,0.5904761904761905,0.7333333333333334,0.00010906471582551117,0.6221198156682028,0.6359447004608294,0.00013172751167931428,0.6065573770491803,0.6838407494145198
2,0.7071067811865476,0,3,"['Positivity_Rate_7_1dayago', 'Positivity_Rate_7_2dayago', 'Positivity_Rate_7_3dayago', 'Positivity_Rate_7_4dayago', 'Positivity_Rate_7_5dayago', 'Positivity_Rate_7_6dayago', 'Excess Pressure_7_Adj100k_1dayago']",0.00010952323477256783,0.7047619047619048,0.8571428571428571,6.864020719378438e-05,0.7695852534562213,0.7327188940092167,8.874661419974347e-05,0.737704918032787,0.7939110070257611
3,0.7071067811865476,0,4,"['Positivity_Rate_7_1dayago', 'Positivity_Rate_7_2dayago', 'Positivity_Rate_7_3dayago', 'Positivity_Rate_7_4dayago', 'Positivity_Rate_7_5dayago', 'Positivity_Rate_7_6dayago']",0.00018572249587756637,0.6095238095238095,0.7380952380952381,6.028881252823817e-05,0.7419354838709677,0.7235023041474655,0.00012197750925741597,0.6768149882903981,0.7306791569086651
4,0.7071067811865476,0,5,"['Positivity_Rate_7_1dayago', 'Positivity_Rate_7_2dayago', 'Positivity_Rate_7_3dayago', 'Pressure_7_Adj100k_1dayago']",9.481948216483082e-05,0.6904761904761905,0.8428571428571429,4.538305597820643e-05,0.7880184331797235,0.7373271889400923,6.969605246343155e-05,0.7400468384074942,0.7892271662763467
5,0.7071067811865476,0,6,"['Positivity_Rate_7_1dayago', 'Positivity_Rate_7_2dayago', 'Positivity_Rate_7_3dayago', 'Diff Pressure_7_Adj100k_1dayago']",9.602335170919639e-05,0.6476190476190476,0.7904761904761904,0.00011255308942022885,0.6221198156682027,0.6036866359447004,0.00010442371021808175,0.6346604215456675,0.6955503512880561
6,0.7071067811865476,0,7,"['Positivity_Rate_7_1dayago', 'Positivity_Rate_7_2dayago', 'Positivity_Rate_7_3dayago', 'Excess Pressure_7_Adj100k_1dayago']",6.386486608542451e-05,0.7809523809523808,0.9047619047619049,6.86929478629634e-05,0.7649769585253458,0.7281105990783411,6.631848141499345e-05,0.7728337236533958,0.8149882903981266
7,0.7071067811865476,0,8,"['Positivity_Rate_7_1dayago', 'Positivity_Rate_7_2dayago', 'Positivity_Rate_7_3dayago']",9.206968500456024e-05,0.6761904761904762,0.8476190476190476,6.42141641400916e-05,0.7373271889400922,0.7096774193548387,7.791360063081388e-05,0.7072599531615925,0.7775175644028104
8,0.7071067811865476,0,9,"['Positivity_Rate_7_1dayago', 'Pressure_7_Adj100k_1dayago']",0.00011470335136483889,0.7333333333333333,0.880952380952381,0.00010569406040811569,0.5852534562211982,0.6036866359447004,0.00011012485923929104,0.65807962529274,0.7400468384074941
9,0.7071067811865476,0,10,"['Positivity_Rate_7_1dayago', 'Diff Pressure_7_Adj100k_1dayago']",6.231118745235128e-05,0.719047619047619,0.8761904761904763,0.000140098882687628,0.5576036866359446,0.5668202764976958,0.00010184263912929519,0.6370023419203747,0.7189695550351288
10,0.7071067811865476,0,11,"['Positivity_Rate_7_1dayago', 'Excess Pressure_7_Adj100k_1dayago']",6.409152815369799e-05,0.8619047619047618,0.9238095238095239,8.452852025930226e-05,0.7004608294930875,0.6635944700460829,7.447754053523459e-05,0.7798594847775175,0.7915690866510539
11,0.7071067811865476,0,12,['Positivity_Rate_7_1dayago'],3.700245487136836e-05,0.9047619047619048,0.9476190476190477,9.79831195071613e-05,0.6267281105990784,0.6175115207373273,6.799262870267297e-05,0.7634660421545667,0.7798594847775177
12,0.7071067811865476,0,13,"['Positivity_Rate_7_1dayago', 'Pressure_7_Adj100k_1dayago', 'Internal_Movement_7_Adj100k_1dayago']",0.00014089838424534174,0.6666666666666667,0.8142857142857143,0.00011827901262735432,0.6129032258064516,0.5714285714285714,0.0001294032937509547,0.639344262295082,0.6908665105386416
13,0.7071067811865476,0,14,"['Positivity_Rate_7_1dayago', 'Diff Pressure_7_Adj100k_1dayago', 'Diff Internal_Movement_7_Adj100k_1dayago']",0.00014300405435315055,0.7142857142857142,0.8047619047619048,0.0002203852135618351,0.5069124423963134,0.5391705069124424,0.00018232890575428532,0.6088992974238875,0.6697892271662764
14,0.7071067811865476,0,15,"['Positivity_Rate_7_1dayago', 'Excess Pressure_7_Adj100k_1dayago', 'Excess Internal_Movement_7_Adj100k_1dayago']",7.552313487430788e-05,0.7904761904761904,0.8952380952380954,0.00010742527374760059,0.663594470046083,0.6543778801843319,9.17356972525386e-05,0.7259953161592506,0.772833723653396
